"year","zone","measure","value"
"2008","S01001790","Median",155000
"2009","S01001790","Median",155000
"2006","S01001790","Median",170000
"2005","S01001790","Median",127000
"1998","S01001790","Median",58000
"2010","S01001790","Median",179625
"2013","S01001790","Median",225000
"2012","S01001790","Median",145000
"1995","S01001790","Median",55248
"2011","S01001790","Median",170500
"2004","S01001790","Median",132013
"1993","S01001790","Median",47500
"2001","S01001790","Median",67050
"2002","S01001790","Median",83628
"1996","S01001790","Median",51000
"2000","S01001790","Median",60000
"1999","S01001790","Median",60000
"2003","S01001790","Median",103892
"1997","S01001790","Median",56500
"1994","S01001790","Median",50125
"2007","S01001790","Median",245000
"1993","S01001790","Mean",64552
"1994","S01001790","Mean",61395
"1995","S01001790","Mean",64172
"2008","S01001790","Mean",209472
"1996","S01001790","Mean",68377
"2004","S01001790","Mean",137519
"1997","S01001790","Mean",89456
"2005","S01001790","Mean",163380
"2009","S01001790","Mean",213825
"2010","S01001790","Mean",202407
"2011","S01001790","Mean",234000
"2012","S01001790","Mean",163023
"2013","S01001790","Mean",203720
"2006","S01001790","Mean",173478
"2003","S01001790","Mean",150446
"2002","S01001790","Mean",110090
"1998","S01001790","Mean",71430
"1999","S01001790","Mean",66914
"2007","S01001790","Mean",267146
"2000","S01001790","Mean",82822
"2001","S01001790","Mean",70673
"1997","S01001790","Upper Quartile",109250
"2003","S01001790","Upper Quartile",206917
"2002","S01001790","Upper Quartile",121675
"1996","S01001790","Upper Quartile",67150
"2008","S01001790","Upper Quartile",249999
"2006","S01001790","Upper Quartile",193550
"1998","S01001790","Upper Quartile",75000
"1995","S01001790","Upper Quartile",65000
"2007","S01001790","Upper Quartile",272000
"2004","S01001790","Upper Quartile",155000
"1999","S01001790","Upper Quartile",62121
"2011","S01001790","Upper Quartile",330000
"1994","S01001790","Upper Quartile",81000
"2005","S01001790","Upper Quartile",213100
"2012","S01001790","Upper Quartile",205612
"2013","S01001790","Upper Quartile",250000
"2010","S01001790","Upper Quartile",273500
